SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,201142,0022500001,"OCT 21, 2025",HOU @ OKC,L,47,9,16,0.563,0,4,0.0,5,6,0.833,0,9,9,3,0,0,4,6,23,0,1
22025,201143,0022500002,"OCT 21, 2025",GSW @ LAL,W,20,2,7,0.286,1,4,0.25,0,0,,0,5,5,1,0,0,2,4,5,-10,1
22025,201939,0022500002,"OCT 21, 2025",GSW @ LAL,W,32,6,14,0.429,3,9,0.333,8,8,1.0,0,1,1,4,3,1,2,3,23,1,1
22025,202710,0022500002,"OCT 21, 2025",GSW @ LAL,W,35,7,14,0.5,1,2,0.5,16,16,1.0,2,3,5,4,1,0,1,4,31,20,1
22025,203110,0022500002,"OCT 21, 2025",GSW @ LAL,W,28,3,6,0.5,1,3,0.333,1,3,0.333,1,6,7,9,1,2,4,5,8,20,1
22025,203500,0022500001,"OCT 21, 2025",HOU @ OKC,L,37,1,4,0.25,0,0,,2,2,1.0,5,8,13,3,0,0,3,4,4,2,1
22025,203935,0022500002,"OCT 21, 2025",LAL vs. GSW,L,23,3,6,0.5,0,3,0.0,3,4,0.75,0,0,0,0,1,0,3,4,9,2,1
22025,203991,0022500001,"OCT 21, 2025",HOU @ OKC,L,8,1,1,1.0,0,0,,2,2,1.0,0,0,0,0,1,0,1,0,4,5,1
22025,1627741,0022500002,"OCT 21, 2025",GSW @ LAL,W,22,6,11,0.545,5,10,0.5,0,0,,0,1,1,0,1,0,2,0,17,5,1
22025,1627780,0022500002,"OCT 21, 2025",GSW @ LAL,W,12,3,6,0.5,0,1,0.0,0,0,,1,1,2,1,1,1,3,3,6,3,1
22025,1627936,0022500001,"OCT 21, 2025",OKC vs. HOU,W,30,3,9,0.333,2,6,0.333,0,0,,0,2,2,3,2,1,0,2,8,-15,1
22025,1628392,0022500001,"OCT 21, 2025",OKC vs. HOU,W,37,2,5,0.4,0,1,0.0,2,2,1.0,5,3,8,5,2,0,1,6,6,9,1
22025,1628983,0022500001,"OCT 21, 2025",OKC vs. HOU,W,47,12,26,0.462,1,9,0.111,10,14,0.714,0,5,5,5,2,2,3,2,35,3,1
22025,1629006,0022500001,"OCT 21, 2025",HOU @ OKC,L,20,1,3,0.333,1,3,0.333,5,6,0.833,1,1,2,1,0,1,0,2,8,-8,1
22025,1629020,0022500002,"OCT 21, 2025",LAL vs. GSW,L,12,0,4,0.0,0,2,0.0,0,0,,0,3,3,0,1,0,2,0,0,-4,1
22025,1629028,0022500002,"OCT 21, 2025",LAL vs. GSW,L,34,5,7,0.714,0,0,,0,2,0.0,2,4,6,0,0,1,4,3,10,-4,1
22025,1629029,0022500002,"OCT 21, 2025",LAL vs. GSW,L,41,17,27,0.63,2,10,0.2,7,10,0.7,0,12,12,9,2,1,3,1,43,-8,1
22025,1629060,0022500002,"OCT 21, 2025",LAL vs. GSW,L,35,3,6,0.5,3,6,0.5,0,0,,0,4,4,3,0,0,1,2,9,-6,1
22025,1629216,0022500002,"OCT 21, 2025",LAL vs. GSW,L,29,1,4,0.25,1,4,0.25,0,0,,0,0,0,1,1,0,0,3,3,-5,1
22025,1629637,0022500002,"OCT 21, 2025",LAL vs. GSW,L,14,2,3,0.667,0,0,,0,0,,2,4,6,1,0,0,1,2,4,-6,1
22025,1629652,0022500001,"OCT 21, 2025",OKC vs. HOU,W,45,2,12,0.167,0,8,0.0,2,2,1.0,2,4,6,5,1,0,1,4,6,2,1
22025,1630228,0022500002,"OCT 21, 2025",GSW @ LAL,W,33,6,11,0.545,4,6,0.667,1,2,0.5,3,6,9,6,1,0,2,3,17,4,1
22025,1630559,0022500002,"OCT 21, 2025",LAL vs. GSW,L,36,9,16,0.563,1,5,0.2,7,10,0.7,1,4,5,9,2,0,5,5,26,-14,1
22025,1630578,0022500001,"OCT 21, 2025",HOU @ OKC,L,49,12,24,0.5,5,8,0.625,10,11,0.909,4,7,11,7,2,1,4,5,39,9,1
22025,1630598,0022500001,"OCT 21, 2025",OKC vs. HOU,W,21,4,8,0.5,2,5,0.4,0,0,,0,1,1,1,0,0,1,1,10,2,1
22025,1630611,0022500002,"OCT 21, 2025",GSW @ LAL,W,3,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,0,1
22025,1631095,0022500001,"OCT 21, 2025",HOU @ OKC,L,42,7,15,0.467,2,6,0.333,0,0,,3,2,5,0,1,0,0,4,16,2,1
22025,1631096,0022500001,"OCT 21, 2025",OKC vs. HOU,W,38,11,17,0.647,2,5,0.4,4,4,1.0,2,5,7,2,0,0,3,6,28,-1,1
22025,1631106,0022500001,"OCT 21, 2025",HOU @ OKC,L,22,1,6,0.167,1,4,0.25,0,0,,0,6,6,0,0,1,4,1,3,-4,1
22025,1631119,0022500001,"OCT 21, 2025",OKC vs. HOU,W,13,1,5,0.2,0,4,0.0,0,0,,0,0,0,1,1,0,0,1,2,-3,1
22025,1631222,0022500002,"OCT 21, 2025",LAL vs. GSW,L,16,2,4,0.5,1,2,0.5,0,2,0.0,2,1,3,0,0,0,0,1,5,-5,1
22025,1641708,0022500001,"OCT 21, 2025",HOU @ OKC,L,39,8,17,0.471,0,7,0.0,2,2,1.0,2,2,4,5,1,1,4,3,18,-11,1
22025,1641717,0022500001,"OCT 21, 2025",OKC vs. HOU,W,42,5,10,0.5,3,8,0.375,1,2,0.5,1,6,7,5,4,0,2,3,14,8,1
22025,1641764,0022500002,"OCT 21, 2025",GSW @ LAL,W,33,3,7,0.429,1,4,0.25,0,0,,1,6,7,2,1,0,1,2,7,13,1
