PERSON_ID,DISPLAY_FIRST_LAST,TEAM_ID,TEAM_NAME,ROSTERSTATUS,TEAM_ABBREVIATION
2544,LeBron James,1610612747,Los Angeles Lakers,,
101108,Chris Paul,1610612746,LA Clippers,,
200768,Kyle Lowry,1610612755,Philadelphia 76ers,,
200782,P.J. Tucker,0,Free Agent,,
201142,Kevin Durant,1610612745,Houston Rockets,,
201143,Al Horford,1610612744,Golden State Warriors,,
201144,Mike Conley,1610612750,Minnesota Timberwolves,,
201145,Jeff Green,1610612745,Houston Rockets,,
201152,Thaddeus Young,0,Free Agent,,
201565,Derrick Rose,0,Free Agent,,
201566,Russell Westbrook,1610612758,Sacramento Kings,,
201567,Kevin Love,1610612762,Utah Jazz,,
201568,Danilo Gallinari,0,Free Agent,,
201569,Eric Gordon,1610612755,Philadelphia 76ers,,
201572,Brook Lopez,1610612746,LA Clippers,,
201577,Robin Lopez,0,Free Agent,,
201580,JaVale McGee,0,Free Agent,,
201587,Nicolas Batum,1610612746,LA Clippers,,
201599,DeAndre Jordan,1610612740,New Orleans Pelicans,,
201935,James Harden,1610612746,LA Clippers,,
201937,Ricky Rubio,0,Free Agent,,
201939,Stephen Curry,1610612744,Golden State Warriors,,
201942,DeMar DeRozan,1610612758,Sacramento Kings,,
201950,Jrue Holiday,1610612757,Portland Trail Blazers,,
201976,Patrick Beverley,0,Free Agent,,
201980,Danny Green,0,Free Agent,,
201988,Patty Mills,0,Free Agent,,
202066,Garrett Temple,1610612761,Toronto Raptors,,
202083,Wesley Matthews,0,Free Agent,,
202330,Gordon Hayward,0,Free Agent,,
202331,Paul George,1610612755,Philadelphia 76ers,,
202397,Ish Smith,0,Free Agent,,
202681,Kyrie Irving,0,Free Agent,,
202684,Tristan Thompson,0,Free Agent,,
202685,Jonas Valanciunas,1610612743,Denver Nuggets,,
202687,Bismack Biyombo,1610612759,San Antonio Spurs,,
202691,Klay Thompson,1610612742,Dallas Mavericks,,
202692,Alec Burks,0,Free Agent,,
202693,Markieff Morris,0,Free Agent,,
202694,Marcus Morris Sr.,0,Free Agent,,
202695,Kawhi Leonard,1610612746,LA Clippers,,
202696,Nikola Vucevic,1610612741,Chicago Bulls,,
202699,Tobias Harris,1610612765,Detroit Pistons,,
202704,Reggie Jackson,0,Free Agent,,
202709,Cory Joseph,0,Free Agent,,
202710,Jimmy Butler,1610612744,Golden State Warriors,,
202711,Bojan Bogdanovic,0,Free Agent,,
202722,Davis Bertans,0,Free Agent,,
203076,Anthony Davis,1610612742,Dallas Mavericks,,
203078,Bradley Beal,1610612746,LA Clippers,,
203081,Damian Lillard,0,Free Agent,,
203083,Andre Drummond,1610612755,Philadelphia 76ers,,
203084,Harrison Barnes,1610612759,San Antonio Spurs,,
203095,Evan Fournier,0,Free Agent,,
203109,Jae Crowder,0,Free Agent,,
203110,Draymond Green,1610612744,Golden State Warriors,,
203114,Khris Middleton,1610612764,Washington Wizards,,
203200,Justin Holiday,0,Free Agent,,
203458,Alex Len,0,Free Agent,,
203468,CJ McCollum,1610612764,Washington Wizards,,
203469,Cody Zeller,0,Free Agent,,
203471,Dennis Schroder,1610612758,Sacramento Kings,,
203482,Kelly Olynyk,1610612759,San Antonio Spurs,,
203484,Kentavious Caldwell-Pope,1610612763,Memphis Grizzlies,,
203486,Mason Plumlee,1610612766,Charlotte Hornets,,
203488,Mike Muscala,0,Free Agent,,
203490,Otto Porter Jr.,0,Free Agent,,
203493,Reggie Bullock Jr.,0,Free Agent,,
203496,Robert Covington,0,Free Agent,,
203497,Rudy Gobert,1610612750,Minnesota Timberwolves,,
203500,Steven Adams,1610612745,Houston Rockets,,
203501,Tim Hardaway Jr.,1610612743,Denver Nuggets,,
203506,Victor Oladipo,0,Free Agent,,
203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,,
203552,Seth Curry,0,Free Agent,,
203648,Thanasis Antetokounmpo,1610612749,Milwaukee Bucks,,
203897,Zach LaVine,1610612758,Sacramento Kings,,
203903,Jordan Clarkson,1610612752,New York Knicks,,
203914,Gary Harris,1610612749,Milwaukee Bucks,,
203915,Spencer Dinwiddie,0,Free Agent,,
203924,Jerami Grant,1610612757,Portland Trail Blazers,,
203925,Joe Harris,0,Free Agent,,
203926,Doug McDermott,1610612758,Sacramento Kings,,
203932,Aaron Gordon,1610612743,Denver Nuggets,,
203935,Marcus Smart,1610612747,Los Angeles Lakers,,
203937,Kyle Anderson,1610612762,Utah Jazz,,
203939,Dwight Powell,1610612742,Dallas Mavericks,,
203944,Julius Randle,1610612750,Minnesota Timberwolves,,
203952,Andrew Wiggins,1610612748,Miami Heat,,
