Player_ID,Name,Played_Games,Missed_Games
1630173,Precious Achiuwa,52,60
203500,Steven Adams,55,51
1628389,Bam Adebayo,73,90
1630534,Ochai Agbaji,60,49
1630583,Santi Aldama,60,34
1641725,Trey Alexander,21,55
1629638,Nickeil Alexander-Walker,76,24
1628960,Grayson Allen,58,63
1628386,Jarrett Allen,75,81
1630631,Jose Alvarado,51,55
203937,Kyle Anderson,54,109
203507,Giannis Antetokounmpo,62,129
1630175,Cole Anthony,62,15
1628384,OG Anunoby,69,43
1642379,Taran Armstrong,0,100
1630166,Deni Avdija,70,21
1629028,Deandre Ayton,40,51
1630542,Marcus Bagley,5,150
1628963,Marvin Bagley III,28,66
1631116,Patrick Baldwin Jr.,22,166
1630163,LaMelo Ball,47,80
1628366,Lonzo Ball,35,123
1628964,Mo Bamba,32,321
1631094,Paolo Banchero,43,34
1630217,Desmond Bane,64,30
1630625,Dalano Banton,61,30
1631230,Dominick Barlow,29,146
203084,Harrison Barnes,75,43
1630567,Scottie Barnes,61,48
1629628,RJ Barrett,55,54
1629646,Charles Bassey,35,83
1641734,Emoni Bates,7,149
1642419,Jamison Battle,53,56
201587,Nicolas Batum,73,115
1641878,Damion Baugh,11,116
203078,Bradley Beal,48,73
1627736,Malik Beasley,75,65
1630699,MarJon Beauchamp,33,79
1641736,Reece Beekman,31,82
1630180,Saddiq Bey,0,156
1629048,Goga Bitadze,66,11
202687,Bismack Biyombo,21,97
1641710,Anthony Black,73,4
203992,Bogdan Bogdanović,47,141
1629626,Bol Bol,34,87
1641737,Adem Bona,52,103
1626164,Devin Booker,70,51
1630527,Brandon Boston,42,64
1628449,Chris Boucher,50,59
1631123,Jamaree Bouyea,2,189
1628396,Tony Bradley,10,75
1631103,Malaki Branham,42,76
1631128,Christian Braun,74,2
1641779,Jalen Bridges,5,116
1628969,Mikal Bridges,75,37
1628970,Miles Bridges,60,67
1629052,Oshae Brissett,6,347
1627763,Malcolm Brogdon,24,132
1628415,Dillon Brooks,72,34
1631232,Keion Brooks Jr.,7,99
1628971,Bruce Brown,37,69
1627759,Jaylen Brown,59,24
1641738,Kobe Brown,35,153
1629650,Moses Brown,13,340
1628973,Jalen Brunson,61,51
1628418,Thomas Bryant,59,26
1641723,Kobe Bufkin,10,165
202692,Alec Burks,43,120
1630215,Jared Butler,54,101
202710,Jimmy Butler III,48,52
1641824,Matas Buzelis,74,84
1631288,Jamal Cain,30,76
203484,Kentavious Caldwell-Pope,73,4
1641739,Toumani Camara,73,18
203991,Clint Capela,55,120
1642382,Branden Carlson,26,49
1642267,Bub Carrington,75,81
1642269,Devin Carter,30,172
1628975,Jevon Carter,32,126
1628976,Wendell Carter Jr.,64,13
1630618,D.J. Carton,4,349
1627936,Alex Caruso,50,25
1642264,Stephon Castle,74,44
1630658,Colin Castleton,20,333
1630577,Julian Champagnie,75,43
1630551,Justin Champagnie,55,101
1642279,Ulrich Chomche,7,102
1642353,Cam Christie,8,180
1631108,Max Christie,72,105
1630528,Josh Christopher,10,153
1631321,Sidy Cissoko,20,71
1641740,Jaylen Clark,34,66
1629634,Brandon Clarke,64,30
203903,Jordan Clarkson,37,89
1629651,Nic Claxton,66,47
1642270,Donovan Clingan,61,30
1641730,Noah Clowney,46,67
1629599,Amir Coffey,71,117
1642268,Isaiah Collier,68,58
1628381,John Collins,40,86
1641879,Yuri Collins,2,351
1628380,Zach Collins,58,100
201144,Mike Conley,65,35
