Name,Player_ID,TEAM_ID,FGN_RT,FTN_RT,FG3M_RT,PTS_RT,REB_RT,AST_RT,BLK_RT,STL_RT,TOV_RT,Total_Rating,Total_Available_Rating,Total_Punt_FGN_Rating,Total_Punt_FGN_Available_Rating,Total_Punt_FTN_Rating,Total_Punt_FTN_Available_Rating,Total_Punt_FG3M_Rating,Total_Punt_FG3M_Available_Rating,Total_Punt_PTS_Rating,Total_Punt_PTS_Available_Rating,Total_Punt_REB_Rating,Total_Punt_REB_Available_Rating,Total_Punt_AST_Rating,Total_Punt_AST_Available_Rating,Total_Punt_BLK_Rating,Total_Punt_BLK_Available_Rating,Total_Punt_STL_Rating,Total_Punt_STL_Available_Rating,Total_Punt_TOV_Rating,Total_Punt_TOV_Available_Rating,Total_Punt_FGN_FTN_Rating,Total_Punt_FGN_FTN_Available_Rating,Total_Punt_FG3M_FGN_Rating,Total_Punt_FG3M_FGN_Available_Rating,Total_Punt_FGN_PTS_Rating,Total_Punt_FGN_PTS_Available_Rating,Total_Punt_FGN_REB_Rating,Total_Punt_FGN_REB_Available_Rating,Total_Punt_AST_FGN_Rating,Total_Punt_AST_FGN_Available_Rating,Total_Punt_BLK_FGN_Rating,Total_Punt_BLK_FGN_Available_Rating,Total_Punt_FGN_STL_Rating,Total_Punt_FGN_STL_Available_Rating,Total_Punt_FGN_TOV_Rating,Total_Punt_FGN_TOV_Available_Rating,Total_Punt_FG3M_FTN_Rating,Total_Punt_FG3M_FTN_Available_Rating,Total_Punt_FTN_PTS_Rating,Total_Punt_FTN_PTS_Available_Rating,Total_Punt_FTN_REB_Rating,Total_Punt_FTN_REB_Available_Rating,Total_Punt_AST_FTN_Rating,Total_Punt_AST_FTN_Available_Rating,Total_Punt_BLK_FTN_Rating,Total_Punt_BLK_FTN_Available_Rating,Total_Punt_FTN_STL_Rating,Total_Punt_FTN_STL_Available_Rating,Total_Punt_FTN_TOV_Rating,Total_Punt_FTN_TOV_Available_Rating,Total_Punt_FG3M_PTS_Rating,Total_Punt_FG3M_PTS_Available_Rating,Total_Punt_FG3M_REB_Rating,Total_Punt_FG3M_REB_Available_Rating,Total_Punt_AST_FG3M_Rating,Total_Punt_AST_FG3M_Available_Rating,Total_Punt_BLK_FG3M_Rating,Total_Punt_BLK_FG3M_Available_Rating,Total_Punt_FG3M_STL_Rating,Total_Punt_FG3M_STL_Available_Rating,Total_Punt_FG3M_TOV_Rating,Total_Punt_FG3M_TOV_Available_Rating,Total_Punt_PTS_REB_Rating,Total_Punt_PTS_REB_Available_Rating,Total_Punt_AST_PTS_Rating,Total_Punt_AST_PTS_Available_Rating,Total_Punt_BLK_PTS_Rating,Total_Punt_BLK_PTS_Available_Rating,Total_Punt_PTS_STL_Rating,Total_Punt_PTS_STL_Available_Rating,Total_Punt_PTS_TOV_Rating,Total_Punt_PTS_TOV_Available_Rating,Total_Punt_AST_REB_Rating,Total_Punt_AST_REB_Available_Rating,Total_Punt_BLK_REB_Rating,Total_Punt_BLK_REB_Available_Rating,Total_Punt_REB_STL_Rating,Total_Punt_REB_STL_Available_Rating,Total_Punt_REB_TOV_Rating,Total_Punt_REB_TOV_Available_Rating,Total_Punt_AST_BLK_Rating,Total_Punt_AST_BLK_Available_Rating,Total_Punt_AST_STL_Rating,Total_Punt_AST_STL_Available_Rating,Total_Punt_AST_TOV_Rating,Total_Punt_AST_TOV_Available_Rating,Total_Punt_BLK_STL_Rating,Total_Punt_BLK_STL_Available_Rating,Total_Punt_BLK_TOV_Rating,Total_Punt_BLK_TOV_Available_Rating,Total_Punt_STL_TOV_Rating,Total_Punt_STL_TOV_Available_Rating
Shai Gilgeous-Alexander,1628983.0,1610612760,68.52332625285186,100.0,48.27381959722457,100.0,35.91347195148364,55.22727272727273,26.480263157894733,57.20524017467249,48.45070422535211,94.85091448094794,100.0,98.33311495709493,100.0,86.03254636143609,93.40676462098776,93.67274280386432,100.0,91.89792762830783,99.77489285359138,100.0,100.0,99.91831321826177,100.0,92.94290870095821,100.0,94.83254957780358,100.0,91.08612577509706,98.8935079843911,87.91169384613515,95.66627335979092,97.26675862715261,100.0,94.93028806259397,100.0,100.0,100.0,95.90941973373768,100.0,96.18107810866017,100.0,96.78601045794352,100.0,94.04600474680848,100.0,83.8707866981656,91.05971127229408,80.77758310039164,87.70137593756809,96.28581861690657,100.0,87.01769608181215,98.73597747709329,83.60184718172113,90.76771979729723,84.83530838561738,92.10690624724174,81.27284522800718,88.23908910469352,90.17273410892614,97.90182560397696,100.0,100.0,99.97505001358807,100.0,91.55919615603021,99.40712725511852,93.5000019569866,100.0,89.50017711786882,97.17162087082902,100.0,100.0,93.63325675440451,100.0,89.50876519605814,97.180945070006,91.45089107178359,99.28953887793648,87.17954643967374,94.6520789916458,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.73206248540663,100.0,95.5140018000606,100.0,95.99816773539428,100.0,92.69059046455904,100.0,88.94894458405133,96.57313983411288,90.59389263976325,98.35908343745726
Nikola Jokić,203999.0,1610612743,89.84838778560751,57.8721259136864,44.37299035369775,90.51989878076834,91.76954732510288,88.33766233766232,16.801948051948052,60.21210230817218,29.657947686116714,100.0,97.10529799519782,100.0,93.66657732553519,100.0,100.0,100.0,98.32664273613548,100.0,100.0,94.7362880911511,87.257107452376,99.1368747321676,91.38492876587803,100.0,99.09875260547463,100.0,97.12410302997148,100.0,100.0,99.77077452481441,100.0,100.0,94.69346409594756,99.39473670355791,96.4368545321857,89.01319412656272,81.98583669551829,90.12317173154639,86.54852121932164,100.0,95.76235260519663,97.95081615241301,93.21373673283918,100.0,97.93639124369116,100.0,100.0,100.0,100.0,100.0,95.65818152759852,95.68584639564232,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.03457144417418,87.5318421196341,100.0,92.12824914353759,100.0,100.0,100.0,98.50830078085613,100.0,100.0,95.77953402797117,88.21799186786818,95.01720202624968,93.46662393800482,100.0,100.0,100.0,100.0,100.0,100.0,86.7134058819216,79.86761068071726,96.47060061113268,88.85450056288536,93.38984919320032,86.01696636215819,98.30049643292497,90.53993092506246,100.0,93.28809794843352,93.9954993459552,90.6409535749494,99.29805255477193,95.27133149908725,100.0,99.36851485816338,100.0,100.0,100.0,100.0
Anthony Edwards,1630162.0,1610612750,38.53853285652119,62.65140367115903,91.17180186413773,84.31276626103264,41.02203469292077,39.24626006904488,16.87284234752589,38.22895362334863,32.5227313246568,78.07746684428739,85.56530272647879,84.66972900212433,89.50388196829391,74.66287949663074,84.26239257476897,67.31091777464408,74.69400979674812,75.22971169598954,84.90210319975961,80.04300040462773,83.20259252586304,83.52946780789688,86.89766755044666,77.39806576444484,86.56201284790072,79.80242105021634,87.47262093795253,76.34206652670196,86.15747508013506,81.245660856596,91.90219478085075,72.35243705121061,77.32184701612661,82.19763620189798,90.00528859645463,83.786847283147,87.09422283379753,84.49655150202982,91.57801385592485,84.097773810317,90.888378977988,85.9135104955202,92.27039409486125,83.02232880302742,91.7630963962339,62.238184885491535,70.24023722791188,70.6894875641305,79.778135965233,81.21337156166996,87.67559310083544,77.4810200420391,91.38537074172535,73.78803374082821,83.27506665036326,76.15346465500848,85.94462439636672,72.50889308207236,81.83146504976739,61.92932821982691,69.89167041951893,68.51996716584543,71.22470271186565,71.94006052433849,74.79846196165815,66.2162496403491,74.72976745125113,67.80582479813143,75.38221287553725,64.77545828288595,73.10373149068558,78.9865477023361,82.10443774321779,78.10133962187426,86.70454286500963,74.31366471765452,83.86827875278153,76.91805714563786,86.80752163579129,72.95660235007341,82.33673693794,81.14768688556377,84.35088505209917,80.94794754797493,84.14326126697394,81.73440792282672,84.96076613030672,81.41638855212653,84.63019336339467,83.67166699313351,88.091440373024,81.99024126344622,89.22953341838755,82.00796338930706,88.79869465201816,79.09879962990377,88.70492706523878,75.5683746398907,85.28430852216236,77.9557986457979,87.97868704311477
James Harden,201935.0,1610612746,30.551929007965796,79.28552108174371,66.95429199397614,69.78943720825946,41.56899515549304,75.10356731875719,18.196202531645568,49.5716101929136,7.591371010875392,77.03172071086959,84.4192667688908,85.09350694447,89.95185518587114,70.24692367509955,79.27867100475522,70.78947513881786,78.55411758354201,77.01910742341082,86.92156409213506,78.75345867243671,81.86214783055921,74.9128178404715,77.93356417569598,76.08104000073891,85.08905095986215,76.40538257396862,83.74907652621754,79.85804584228356,90.1255088791486,77.79073851971783,87.99410981718819,78.38447928089153,83.76819029752959,86.42753292597622,94.63696771735701,84.12778277642693,87.44861630707534,76.70418291719727,83.132584716546,84.25095680103676,91.05393096685422,83.73870318481438,89.93466917241525,89.01574635046462,98.3875137075477,62.58689514741559,70.63378166636902,68.77376824267685,77.61610987387817,75.70165567832447,81.72530499207669,64.26583733143771,75.79865839884839,68.95460280273075,77.82019459165328,68.63506337596012,77.45957152429786,72.99509848607465,82.3801825771414,69.47511849282179,78.40763372761317,72.40605203270223,75.26418566557204,67.91099583047368,70.60931004757059,69.54941757331189,78.49148554702342,69.29471037455886,77.03746137083559,73.49524250780867,82.94463083024122,80.9713940388514,84.16763327722711,71.46207520046507,79.33393450662264,75.88172922832814,85.63795155768462,76.2555327373521,86.0598155178688,80.41412397155298,90.75308276789552,71.71228436992439,74.54303243715825,79.30988107887451,82.4405342793564,77.74205906623904,80.81082455569583,85.46062760780694,88.83407343443089,74.38038214880945,78.30936366455202,70.11818229431918,76.30923624391059,78.29463411312003,84.77788034434901,75.3170716124419,84.46392834542125,78.94425807979698,89.09423411862802,79.54786191113557,89.775444156853
Jayson Tatum,1628369.0,1610612738,40.4770802192327,57.36130170554794,78.15291175419793,82.09876543209876,62.31424325560128,51.69823232323232,13.79419191919192,35.03153808830665,37.856025039123644,80.57433153184166,80.47742887710872,87.23016348987169,84.03995163747233,78.47642471680744,80.71860828014479,72.49850545495164,73.3220706319488,78.66088734069528,80.90834126471516,78.63962910395094,74.50070125637457,83.89320103571187,79.54274531100414,80.52797993573381,82.08228714654766,83.22250062506221,83.1385103155242,77.98799922717006,80.21622777651778,85.40250363615834,88.04439535224047,78.16562135424843,76.13252700938698,85.90041217934208,85.72536701927487,81.71774234157304,77.41680853412183,84.45656886366805,83.42401248388612,87.41648207002625,86.10385350338436,89.5284739638769,87.63296329407548,84.56607937597181,85.18727968159082,69.20085845226077,71.1780258366111,75.84887844169025,78.01598925430999,80.78808518057224,79.48842497969423,79.07624670162463,85.00271576179622,78.35340045952799,80.59206904408593,81.18427760159689,83.50382839021395,75.45034841231062,77.60607265266236,68.70720459443234,70.67026758284469,69.82372162598881,66.1487889088315,75.32556354687664,71.37886922047568,72.18111572558051,74.24343331773996,74.35332403177462,75.33688739429329,69.19698716520541,71.17404394135414,77.78374753002689,73.68986608107811,79.0694285280142,80.00136089957701,78.53587824330747,80.77976047883053,81.60643215559364,83.93804450289632,75.42706214528579,77.58212106372252,76.79799496749955,72.755995232368,80.11128030813904,75.89489713402646,80.86679783840661,76.61065058375362,78.69348552667637,74.5517231305355,84.71498630366771,81.28697081139524,83.0985976566591,82.42245720001556,81.22301016031967,80.15581620351419,83.26084701514328,85.09892619834035,77.85591936627495,80.08037420531139,80.47519728117024,82.77448863206082
Karl-Anthony Towns,1626157.0,1610612752,68.85276532137519,56.05763575769457,44.390853876384426,74.74727142601539,92.02103337905807,26.62878787878788,18.150252525252526,32.726831635128576,42.91079812206574,80.17073307056549,80.074315803196,80.83372631864405,77.87744718928892,78.28202509904071,80.51865438758475,78.49142397706558,79.38306723336136,79.71616446699439,81.99376916605138,72.2914836361927,68.48666870797202,88.58597867771103,83.9921692472754,79.3238118466753,80.85487686085948,83.2238059850082,83.13981435806703,76.62569411621115,78.81499966238862,78.45332310338566,80.88024474597549,78.87529900087121,76.82374588110301,79.9416357076761,79.77873315501698,67.85746567181418,64.28602011013976,83.16549303566073,82.14872120172203,79.846435537042,78.64747728856784,82.90181615381742,81.14660610601877,76.62440167215348,77.18726449005703,76.21527347373573,78.39285271584247,77.35887637348802,79.5691299841591,73.47394213480192,72.29194656972841,84.51985516156873,90.85430232463736,77.27188560261622,79.47965376269097,81.47461401846603,83.80246013327935,74.19497649893533,76.31483297033348,77.64058018862549,79.85888247972909,70.20916992464214,66.51395045492413,88.27170008653299,83.6466909726419,77.51503836211339,79.72975374388807,81.61841833794591,82.69808608689037,74.52828880722807,76.65766848743459,71.68385695733834,67.91102238063633,86.398326789937,87.41663941826057,78.68680179009337,80.93499612695318,83.36397525335244,85.74580311773394,75.4267640937219,77.58181449639967,75.25313191797687,71.29244076439913,72.49930515436648,68.68355225150509,74.22180721563608,70.31539630954995,70.56120197536595,66.84745450297827,88.68164328112138,85.09311591055501,88.69935747937586,87.97764585293078,85.12030017872299,84.00189949678692,82.3774994611718,84.1960777287682,75.61683713403278,77.77731819500515,79.42245714757551,81.69167020893482
Tyrese Haliburton,1630169.0,1610612754,52.68136863443702,34.614754560615296,67.21578645993921,56.95850704784594,25.452393032301707,79.62017434620175,17.543586550435865,47.7358377699348,64.80802623962956,78.43980170652365,79.43359761656043,82.15072715126908,80.24553612937429,80.54724932071782,83.99927429160573,72.26675605852047,74.10279540579836,81.37275689811437,84.86016076517643,83.54044718597987,80.24279795495434,75.63429154206909,72.70812032580709,77.65003595189019,80.2480834699983,78.34050801638844,79.34840925089905,70.7426138578623,73.7744401660564,85.02118787254173,88.86866268140176,75.08154381952419,74.14434251397101,86.10024056324441,87.11818803527682,84.58795265558383,81.24895452444237,72.41268309239895,72.52080963503718,81.34235837783788,81.23372844918929,80.87114393303108,80.25835714080644,73.16094266607766,74.7219522061805,73.8096421036417,76.97291247951206,84.33650331327856,87.95092488384763,92.09348989934117,91.87045593199863,75.15793087275523,81.91283037716398,79.73667133226387,83.15395724650375,80.7163918466219,84.17566578290572,72.05533263570504,75.14341832009241,74.21319859272049,77.39376424669423,77.64257488323736,74.5777364010043,68.65281893263308,65.95929607333159,71.20395087979816,74.25554877464666,71.35831449620838,73.30645720790596,63.51048928596717,66.2323673982229,90.11752036411703,86.5602498234282,75.43561101703138,77.38477976855009,80.53492457630878,83.98642134386488,81.67381456536957,85.17412090388542,72.31817102498276,75.41752121176773,76.08208761277444,73.07884731227018,84.49885872275692,81.16337745738493,83.55245636798918,80.2543330903054,78.20106568578426,75.11418151397697,75.27504908517952,73.23220415794141,71.31013171838069,71.71226920352409,66.47827363698121,66.5159895890713,77.45077490366619,80.26004268653702,69.66074440137582,72.64620487572051,69.67066789300837,72.6565536598516
Tyler Herro,1629639.0,1610612748,50.2048026711704,48.97333601509252,73.37035954399298,73.11207311207312,37.317620650953984,47.55608028335301,5.7703659976387245,29.739692621788695,44.949698189134814,72.18113152073163,77.10087314546332,75.23586132258227,77.51794184447382,70.77344973439756,77.85079470783732,64.3068671261512,69.55386184332527,70.55778031909595,77.61355835100555,74.11852276103474,75.09376648157466,74.89810163624571,75.9456405231786,73.3316160756328,79.93778847602658,74.87606660067944,79.99497887703735,67.81931124428922,74.60124236871815,73.77797375526846,81.342228240005,66.04730401929751,68.7967281296403,73.50078940002857,78.44483206553339,74.25250451473792,75.22951115308973,72.16025362784485,76.2278938317321,76.72064555643992,80.81644463061521,77.3290917640801,80.94824804009403,70.20430400438896,75.63111802361358,61.789977911335384,67.96897570246892,68.62427979188858,75.48670777107745,77.35612801836582,81.39721189878286,71.10357758155368,81.74033912634235,72.01070926860788,79.21178019546869,73.62615308395671,80.98876839235238,65.80113010912582,72.3812431200384,60.87727641615048,66.96500405776553,65.87294139322512,66.73969062208333,66.42536611429203,67.31617946711015,65.29747423935173,71.8272216632869,66.23902692518679,71.77603386555282,59.08288581820567,64.99117440002622,74.3675449526781,75.3460652810028,70.63630376972829,76.43195516208883,71.87461662990864,79.06207829289951,73.60192394343817,80.96211633778199,65.20984642760116,71.73083107036128,72.64337249063992,73.59920633920095,77.01929385236882,78.03270561358418,76.95101717440257,77.96353055827628,72.13507857528968,73.08422434601717,77.04152319666562,79.05762878273762,74.53170352384001,79.05896770133685,70.06086219238917,73.94174005273007,76.25920396015813,83.35540225965354,68.89489884620784,75.78438873082862,70.13322540854236,77.14654794939659
Giannis Antetokounmpo,203507.0,1610612749,100.0,38.98211354519309,4.703172241685463,92.97473982743288,85.77482955592409,55.814111261872455,30.427408412483036,28.729713876034673,34.17700231238176,82.82213051263176,76.97790478425148,77.48672038974398,69.46862349070018,84.57158422531424,80.94708775851505,88.92618501060859,83.69078370993071,79.06241928309082,75.67402988524408,76.52486955091359,67.46271394620014,85.68259700660778,75.59772702715364,79.83408200059081,75.72395458447649,86.97374899373429,80.85222471391599,81.04094823289154,77.56776473719619,78.6958809465356,75.49625698837013,84.30702479229589,76.41181758410912,71.18373326489318,66.10543581205712,65.60693070915326,57.83768891464827,72.74443956382906,66.8651386231121,73.72477105919492,67.57483628111962,80.0863241222237,72.94692382113949,74.99808449754298,70.30254242483973,91.59800929894062,87.67238032898602,80.67120309964454,77.21386582394551,82.62665240476346,75.65176086977536,85.19525913262108,85.22058048591047,81.29341015962346,77.80940686706818,89.48897902911237,85.65373707072183,82.6841567105675,79.14054999440032,86.05418151983885,82.36614516898861,83.59642871208965,73.69685162776322,94.13391145171393,83.00718485061526,85.87905031784977,82.19851958994192,94.26487052379477,88.87906266399587,87.35090752835048,83.60729720570689,72.45473772391723,63.87457141450598,78.5358588297032,73.94334252344355,75.35229885515515,72.12291461850565,83.57094730884434,79.98933528132244,76.67409364911583,73.38806106415372,73.50626717977634,64.80157764532913,74.39720796758682,65.58701228721469,79.89131775056606,70.43050380642008,77.1612032696122,68.02369235610549,83.00249459487225,74.11295780913734,86.44544969456847,79.78776630682341,83.94238373009557,77.08671950109463,83.76196733495165,79.66589340143332,77.82620378993488,74.49079505608053,85.22568247407399,81.57315322518511
Ivica Zubac,1627826.0,1610612746,90.3849028400598,18.698294452068218,0.0,51.24798711755234,90.9207818930041,23.102272727272723,29.40340909090909,22.816593886462883,66.01408450704226,68.94861634051493,76.51743926974022,63.01888529420363,67.46015191289779,73.09385318819167,83.53583221507621,74.77593434946236,84.02818950903209,71.27997294748126,81.46282622569288,59.83560178704407,62.98484398636218,76.14450857692316,80.21764150122672,65.72404169596328,74.43623483725901,72.62095202936305,80.60851230896542,60.50644223568572,69.15021969792654,67.07943574165611,76.83834533840512,69.44471536071855,75.15383612186857,64.11848309618703,71.09758274065987,48.49966746151788,51.05228153843987,64.29718594263875,70.56788431060062,58.95290521212737,64.519644525994,65.26132071794044,70.97733106931481,52.4997876696671,58.761597090596915,80.03682705015204,91.47065948588804,76.63695866233388,87.58509561409586,67.41360769478878,73.69900711198191,79.31660239764963,94.73453913184187,69.63285130871336,79.58040149567242,77.79014348690048,88.90302112788628,63.89289972789606,73.0204568318812,78.5593920038591,89.7821622901247,66.17158915218421,69.65430437072023,84.61216387438442,89.08766301706422,71.46247313601397,81.67139786973026,79.55373319126547,89.5623208850875,65.926425102133,75.34448583100914,61.96040418345996,65.22147808785257,77.42734158625679,87.04435544885054,67.50847593154663,77.15254392176757,76.08161320117922,86.95041508706196,61.290562311810234,70.04635692778312,62.05047359021491,65.3162879896999,56.99713796762344,59.99698733434046,62.38898992918459,65.67262097808904,51.71128579485009,54.432932415631676,73.25373117330427,78.09944284323917,77.4288295715347,85.33202419739841,66.75758926139322,73.20050814368973,69.12736480864316,78.50381230963815,56.82773796766688,64.94598624876214,63.34585129288417,72.39525862043907
